stage	trans
G23	TRINITY_DN118593_c3_g6_i1
G27	TRINITY_DN131353_c3_g2_i1
G31	TRINITY_DN100374_c0_g4_i1
G31	TRINITY_DN111853_c0_g1_i7
G31	TRINITY_DN118431_c1_g4_i2
G31	TRINITY_DN121524_c0_g2_i1
G31	TRINITY_DN124204_c2_g1_i1
G31	TRINITY_DN127241_c1_g2_i6
G31	TRINITY_DN130908_c0_g1_i1
G31	TRINITY_DN132945_c2_g4_i6
G31	TRINITY_DN135434_c4_g1_i1
G31	TRINITY_DN138154_c4_g1_i2
G43	TRINITY_DN100187_c0_g1_i1
G43	TRINITY_DN100282_c0_g1_i1
G43	TRINITY_DN1002_c0_g1_i1
G43	TRINITY_DN100623_c0_g1_i1
G43	TRINITY_DN100648_c0_g1_i2
G43	TRINITY_DN100708_c0_g1_i1
G43	TRINITY_DN100765_c0_g2_i1
G43	TRINITY_DN100795_c0_g4_i1
G43	TRINITY_DN100801_c0_g2_i1
G43	TRINITY_DN100821_c0_g1_i1
G43	TRINITY_DN100833_c0_g1_i1
G43	TRINITY_DN100955_c0_g1_i1
G43	TRINITY_DN101109_c1_g1_i1
G43	TRINITY_DN101204_c0_g1_i1
G43	TRINITY_DN101468_c0_g1_i1
G43	TRINITY_DN101619_c0_g1_i1
G43	TRINITY_DN101851_c0_g1_i1
G43	TRINITY_DN101886_c0_g2_i1
G43	TRINITY_DN102074_c0_g1_i1
G43	TRINITY_DN102210_c0_g1_i1
G43	TRINITY_DN102229_c0_g1_i1
G43	TRINITY_DN102540_c0_g1_i1
G43	TRINITY_DN102599_c0_g1_i1
G43	TRINITY_DN102608_c0_g2_i1
G43	TRINITY_DN102803_c0_g1_i2
G43	TRINITY_DN103339_c1_g1_i1
G43	TRINITY_DN103377_c0_g1_i1
G43	TRINITY_DN103385_c0_g1_i1
G43	TRINITY_DN103478_c0_g1_i2
G43	TRINITY_DN103620_c0_g1_i1
G43	TRINITY_DN103694_c0_g1_i1
G43	TRINITY_DN103821_c0_g1_i1
G43	TRINITY_DN103862_c0_g2_i1
G43	TRINITY_DN103924_c0_g2_i1
G43	TRINITY_DN104133_c0_g1_i1
G43	TRINITY_DN104177_c0_g1_i1
G43	TRINITY_DN104337_c0_g1_i1
G43	TRINITY_DN104359_c0_g2_i1
G43	TRINITY_DN104382_c0_g1_i2
G43	TRINITY_DN104790_c0_g1_i1
G43	TRINITY_DN104931_c0_g1_i1
G43	TRINITY_DN104984_c0_g1_i1
G43	TRINITY_DN105001_c0_g1_i1
G43	TRINITY_DN105149_c0_g1_i1
G43	TRINITY_DN105232_c0_g1_i1
G43	TRINITY_DN105381_c0_g4_i1
G43	TRINITY_DN105477_c0_g1_i1
G43	TRINITY_DN105482_c0_g1_i3
G43	TRINITY_DN105516_c0_g1_i1
G43	TRINITY_DN105774_c0_g1_i2
G43	TRINITY_DN105821_c0_g1_i1
G43	TRINITY_DN105937_c0_g1_i1
G43	TRINITY_DN105937_c0_g2_i1
G43	TRINITY_DN105961_c0_g1_i1
G43	TRINITY_DN106133_c0_g1_i2
G43	TRINITY_DN106193_c2_g6_i1
G43	TRINITY_DN106283_c0_g3_i1
G43	TRINITY_DN106373_c0_g1_i4
G43	TRINITY_DN106418_c0_g1_i1
G43	TRINITY_DN106442_c0_g1_i1
G43	TRINITY_DN106456_c0_g1_i1
G43	TRINITY_DN106457_c0_g1_i1
G43	TRINITY_DN106677_c0_g1_i3
G43	TRINITY_DN106677_c0_g3_i1
G43	TRINITY_DN106717_c0_g1_i1
G43	TRINITY_DN10671_c0_g1_i1
G43	TRINITY_DN106751_c0_g1_i1
G43	TRINITY_DN106764_c0_g3_i1
G43	TRINITY_DN106774_c0_g1_i1
G43	TRINITY_DN106792_c0_g1_i1
G43	TRINITY_DN106856_c1_g1_i1
G43	TRINITY_DN106909_c0_g2_i2
G43	TRINITY_DN106909_c0_g3_i1
G43	TRINITY_DN107023_c0_g2_i1
G43	TRINITY_DN107102_c0_g2_i1
G43	TRINITY_DN107128_c0_g1_i1
G43	TRINITY_DN107189_c0_g1_i1
G43	TRINITY_DN10719_c0_g1_i1
G43	TRINITY_DN107285_c0_g1_i1
G43	TRINITY_DN107347_c0_g1_i1
G43	TRINITY_DN107347_c0_g2_i1
G43	TRINITY_DN107466_c0_g1_i1
G43	TRINITY_DN107466_c0_g5_i1
G43	TRINITY_DN107471_c0_g4_i1
G43	TRINITY_DN107539_c0_g1_i1
G43	TRINITY_DN107617_c0_g2_i1
G43	TRINITY_DN107635_c0_g2_i1
G43	TRINITY_DN107664_c0_g2_i1
G43	TRINITY_DN107681_c0_g1_i2
G43	TRINITY_DN107705_c0_g1_i1
G43	TRINITY_DN107739_c0_g1_i1
G43	TRINITY_DN107752_c0_g1_i1
G43	TRINITY_DN107781_c0_g1_i1
G43	TRINITY_DN107784_c0_g1_i1
G43	TRINITY_DN107786_c0_g1_i2
G43	TRINITY_DN107811_c0_g1_i1
G43	TRINITY_DN107811_c0_g2_i1
G43	TRINITY_DN107820_c0_g2_i2
G43	TRINITY_DN107888_c1_g1_i1
G43	TRINITY_DN107903_c0_g2_i2
G43	TRINITY_DN107917_c0_g1_i1
G43	TRINITY_DN107917_c0_g3_i1
G43	TRINITY_DN107950_c0_g1_i1
G43	TRINITY_DN108062_c0_g1_i1
G43	TRINITY_DN108063_c1_g3_i2
G43	TRINITY_DN108063_c1_g6_i1
G43	TRINITY_DN108115_c0_g1_i2
G43	TRINITY_DN108150_c0_g1_i3
G43	TRINITY_DN108155_c0_g4_i4
G43	TRINITY_DN108164_c1_g2_i1
G43	TRINITY_DN108177_c0_g1_i1
G43	TRINITY_DN108205_c0_g1_i1
G43	TRINITY_DN108234_c0_g1_i1
G43	TRINITY_DN108234_c0_g2_i2
G43	TRINITY_DN108340_c1_g1_i1
G43	TRINITY_DN108378_c0_g3_i1
G43	TRINITY_DN108428_c0_g2_i3
G43	TRINITY_DN108504_c0_g2_i1
G43	TRINITY_DN108504_c0_g3_i1
G43	TRINITY_DN108621_c0_g1_i1
G43	TRINITY_DN108733_c0_g2_i1
G43	TRINITY_DN108793_c0_g1_i1
G43	TRINITY_DN108851_c1_g2_i1
G43	TRINITY_DN108944_c0_g1_i1
G43	TRINITY_DN108946_c0_g3_i2
G43	TRINITY_DN109029_c0_g1_i1
G43	TRINITY_DN109307_c0_g1_i1
G43	TRINITY_DN109327_c1_g2_i1
G43	TRINITY_DN109342_c0_g1_i1
G43	TRINITY_DN109355_c0_g1_i1
G43	TRINITY_DN109393_c0_g1_i1
G43	TRINITY_DN109487_c0_g1_i1
G43	TRINITY_DN109646_c0_g4_i1
G43	TRINITY_DN109738_c0_g1_i1
G43	TRINITY_DN109840_c0_g1_i2
G43	TRINITY_DN109844_c0_g1_i2
G43	TRINITY_DN109847_c0_g3_i2
G43	TRINITY_DN109908_c0_g1_i1
G43	TRINITY_DN109911_c0_g1_i1
G43	TRINITY_DN109912_c0_g2_i1
G43	TRINITY_DN109926_c0_g2_i1
G43	TRINITY_DN109926_c0_g3_i1
G43	TRINITY_DN109927_c1_g1_i1
G43	TRINITY_DN109967_c1_g5_i1
G43	TRINITY_DN109993_c0_g2_i1
G43	TRINITY_DN109999_c0_g1_i1
G43	TRINITY_DN110005_c1_g1_i3
G43	TRINITY_DN110066_c2_g3_i1
G43	TRINITY_DN110070_c0_g3_i1
G43	TRINITY_DN110128_c0_g1_i1
G43	TRINITY_DN110133_c0_g1_i3
G43	TRINITY_DN110133_c0_g3_i1
G43	TRINITY_DN110157_c0_g1_i1
G43	TRINITY_DN110160_c0_g1_i1
G43	TRINITY_DN110169_c0_g1_i1
G43	TRINITY_DN110292_c0_g1_i2
G43	TRINITY_DN110293_c0_g1_i1
G43	TRINITY_DN110394_c0_g1_i2
G43	TRINITY_DN110459_c0_g1_i2
G43	TRINITY_DN110468_c0_g1_i1
G43	TRINITY_DN110499_c0_g1_i1
G43	TRINITY_DN110564_c1_g1_i1
G43	TRINITY_DN110656_c0_g1_i1
G43	TRINITY_DN110685_c0_g1_i2
G43	TRINITY_DN110802_c0_g1_i1
G43	TRINITY_DN110818_c0_g2_i1
G43	TRINITY_DN110921_c0_g1_i2
G43	TRINITY_DN110933_c0_g1_i1
G43	TRINITY_DN110991_c0_g1_i1
G43	TRINITY_DN111029_c0_g1_i1
