ID	Tv1_463	Tv2_461	Tv2_462	Tv2_464
TRINITY_DN100010_c0_g1_i1	0	0	0	0
TRINITY_DN100010_c0_g2_i1	0	0	0	0
TRINITY_DN100010_c0_g3_i1	0	0	0	0
TRINITY_DN100012_c0_g1_i1	2	3	3	3
TRINITY_DN100035_c0_g1_i1	0	0	0	0
TRINITY_DN100039_c0_g1_i2	0	0	0	0
TRINITY_DN100041_c0_g1_i1	1	0	9	10
TRINITY_DN100051_c0_g1_i1	0	0	0	0
TRINITY_DN100066_c0_g1_i1	0	0	0	0
TRINITY_DN100084_c0_g1_i2	0	0	0	0
TRINITY_DN100095_c0_g1_i1	5	7	2	3
TRINITY_DN100103_c0_g1_i2	0	0	0	0
TRINITY_DN100123_c0_g1_i1	0	0	0	0
TRINITY_DN100123_c0_g2_i1	0	0	0	0
TRINITY_DN100123_c0_g3_i1	0	0	0	0
TRINITY_DN100150_c0_g1_i1	0	0	0	0
TRINITY_DN100150_c0_g2_i1	0	0	0	0
TRINITY_DN100152_c0_g1_i2	0	0	0	0
TRINITY_DN100164_c0_g1_i1	0	0	0	0
TRINITY_DN100165_c0_g1_i1	0	0	0	0
TRINITY_DN100173_c0_g1_i2	1	2	0	1
TRINITY_DN100180_c0_g1_i1	0	1	0	0
TRINITY_DN100182_c0_g1_i1	0	0	0	0
TRINITY_DN100187_c0_g1_i1	0	0	0	0
TRINITY_DN100195_c0_g2_i1	0	0	0	0
TRINITY_DN100204_c0_g1_i1	0	0	0	0
TRINITY_DN100216_c0_g1_i1	0	0	0	0
TRINITY_DN100221_c0_g1_i1	7	7	10	8
TRINITY_DN100224_c0_g1_i3	1	0	3	2
TRINITY_DN100240_c0_g1_i1	0	0	0	0
TRINITY_DN100241_c0_g1_i1	628	1267	731	666
TRINITY_DN100272_c0_g2_i1	0	1	1	0
TRINITY_DN100282_c0_g1_i1	0	0	0	0
TRINITY_DN100292_c0_g1_i1	0	0	0	0
TRINITY_DN100292_c0_g2_i1	0	0	0	0
TRINITY_DN1002_c0_g1_i1	0	0	0	0
TRINITY_DN100303_c0_g1_i1	0	47	1	15
TRINITY_DN100307_c0_g1_i1	0	0	0	0
TRINITY_DN100313_c0_g2_i1	0	0	0	0
TRINITY_DN100313_c0_g3_i1	0	0	0	0
TRINITY_DN100313_c0_g4_i1	0	0	0	0
TRINITY_DN100313_c0_g5_i1	0	0	0	0
TRINITY_DN100320_c0_g1_i1	0	0	0	0
TRINITY_DN100328_c0_g2_i1	0	0	0	0
TRINITY_DN100331_c0_g1_i1	0	0	0	0
TRINITY_DN100361_c0_g3_i1	0	0	0	0
TRINITY_DN100361_c0_g5_i1	0	0	0	0
TRINITY_DN100374_c0_g1_i1	0	0	0	0
TRINITY_DN100374_c0_g2_i1	0	0	0	0
TRINITY_DN100374_c0_g3_i1	0	0	0	0
TRINITY_DN100374_c0_g4_i1	0	0	0	0
TRINITY_DN100374_c0_g5_i1	0	0	0	0
TRINITY_DN100375_c0_g1_i1	0	0	0	0
TRINITY_DN100384_c0_g1_i1	0	0	0	0
TRINITY_DN100395_c0_g2_i1	1	0	4	0
TRINITY_DN100425_c0_g1_i1	0	0	0	0
TRINITY_DN100425_c0_g2_i1	0	0	0	0
TRINITY_DN10043_c0_g1_i1	0	0	0	0
TRINITY_DN100444_c0_g1_i2	0	0	0	0
TRINITY_DN10044_c0_g1_i1	0	0	0	0
TRINITY_DN100450_c0_g1_i1	4	4	0	2
TRINITY_DN100454_c0_g2_i1	0	0	0	0
TRINITY_DN100454_c0_g6_i1	0	0	0	0
TRINITY_DN100470_c0_g1_i1	0	0	0	0
TRINITY_DN100471_c0_g1_i1	0	0	0	0
TRINITY_DN100472_c0_g1_i1	0	0	0	0
TRINITY_DN100478_c0_g1_i1	0	0	0	0
TRINITY_DN100478_c0_g2_i1	0	0	0	0
TRINITY_DN100481_c0_g1_i1	0	0	0	0
TRINITY_DN100481_c0_g2_i1	0	0	0	0
TRINITY_DN100504_c0_g1_i1	0	0	0	0
TRINITY_DN100506_c0_g1_i1	0	0	0	0
TRINITY_DN100506_c0_g2_i1	0	0	0	0
TRINITY_DN100520_c0_g1_i1	0	0	0	0
TRINITY_DN100526_c0_g1_i1	0	0	0	0
TRINITY_DN100536_c0_g1_i1	0	0	0	0
TRINITY_DN100536_c0_g2_i1	0	0	0	0
TRINITY_DN100545_c0_g1_i1	0	0	0	0
TRINITY_DN10055_c0_g1_i1	0	0	0	0
TRINITY_DN100575_c0_g1_i1	16	10	15	8
TRINITY_DN100580_c0_g2_i1	0	0	0	0
TRINITY_DN100580_c0_g3_i1	0	0	0	0
TRINITY_DN100582_c0_g1_i1	0	0	0	0
TRINITY_DN100590_c0_g1_i1	0	0	0	0
TRINITY_DN100599_c0_g1_i2	0	0	0	0
TRINITY_DN100601_c0_g1_i1	0	0	0	0
TRINITY_DN100609_c0_g1_i1	0	0	0	0
TRINITY_DN100618_c0_g1_i1	0	1	0	2
TRINITY_DN100623_c0_g1_i1	0	0	0	0
TRINITY_DN100631_c0_g4_i1	0	0	0	0
TRINITY_DN100633_c0_g1_i1	0	0	0	0
TRINITY_DN100648_c0_g1_i2	0	0	0	0
TRINITY_DN100695_c0_g1_i1	6	9	23	17
TRINITY_DN100708_c0_g1_i1	0	0	0	0
TRINITY_DN100727_c0_g1_i1	0	0	0	0
TRINITY_DN100727_c0_g2_i1	0	0	0	0
TRINITY_DN100741_c0_g1_i1	0	0	0	0
TRINITY_DN100765_c0_g2_i1	0	0	0	0
TRINITY_DN100766_c0_g1_i1	0	0	0	0
TRINITY_DN100782_c0_g1_i1	1	2	1	2
TRINITY_DN100795_c0_g1_i1	0	0	0	0
TRINITY_DN100795_c0_g2_i1	0	0	0	0
TRINITY_DN100795_c0_g3_i2	0	0	0	0
TRINITY_DN100795_c0_g4_i1	0	0	0	0
TRINITY_DN100798_c0_g1_i1	0	0	0	0
TRINITY_DN100800_c0_g1_i1	0	0	0	0
TRINITY_DN100801_c0_g2_i1	1	0	0	0
TRINITY_DN100819_c0_g1_i1	0	0	0	0
TRINITY_DN100821_c0_g1_i1	0	0	0	0
TRINITY_DN100833_c0_g1_i1	0	0	0	0
TRINITY_DN100862_c0_g3_i2	0	0	0	0
TRINITY_DN100870_c0_g1_i1	0	0	0	0
TRINITY_DN100903_c0_g1_i1	0	0	0	0
TRINITY_DN100903_c0_g2_i1	0	0	0	0
TRINITY_DN100903_c0_g5_i1	0	0	0	0
TRINITY_DN100919_c0_g1_i2	0	0	25	23
TRINITY_DN100924_c0_g1_i2	59	75	44	42
TRINITY_DN100931_c0_g1_i1	0	0	0	0
TRINITY_DN100943_c0_g1_i1	0	0	0	0
TRINITY_DN100955_c0_g1_i1	0	0	0	0
TRINITY_DN100964_c0_g1_i1	0	0	0	0
TRINITY_DN100992_c0_g1_i1	0	0	0	0
TRINITY_DN101015_c0_g1_i1	0	0	0	0
TRINITY_DN101016_c0_g1_i1	2	0	0	1
TRINITY_DN101064_c0_g1_i1	0	0	0	0
TRINITY_DN101064_c0_g2_i1	0	0	0	0
TRINITY_DN101068_c0_g1_i1	0	0	0	0
TRINITY_DN101087_c0_g1_i1	0	0	0	0
TRINITY_DN101092_c0_g1_i1	0	0	0	0
TRINITY_DN101109_c1_g1_i1	0	0	0	0
TRINITY_DN101135_c0_g1_i1	0	0	0	0
TRINITY_DN101160_c0_g1_i1	0	0	0	0
TRINITY_DN101163_c1_g1_i1	0	0	0	0
TRINITY_DN101168_c0_g1_i1	1	1	1	0
TRINITY_DN101172_c0_g4_i1	0	0	0	0
TRINITY_DN101177_c0_g1_i1	0	0	0	0
TRINITY_DN101177_c0_g2_i1	0	0	0	0
TRINITY_DN101182_c0_g1_i1	0	0	0	0
TRINITY_DN101190_c0_g1_i1	0	0	0	0
TRINITY_DN101190_c0_g2_i1	0	0	0	0
TRINITY_DN101202_c0_g1_i1	0	0	0	0
TRINITY_DN101204_c0_g1_i1	0	0	0	0
TRINITY_DN101204_c0_g2_i1	0	0	0	0
TRINITY_DN101215_c0_g1_i1	0	0	0	0
TRINITY_DN101215_c0_g5_i1	0	0	0	0
TRINITY_DN101219_c0_g1_i1	0	0	0	0
TRINITY_DN10121_c0_g1_i1	0	0	0	0
TRINITY_DN10121_c1_g1_i1	0	0	0	0
TRINITY_DN101235_c0_g1_i1	0	0	0	0
TRINITY_DN101264_c0_g1_i1	0	0	0	0
TRINITY_DN101265_c0_g2_i1	0	0	0	0
TRINITY_DN101265_c0_g3_i1	0	0	0	0
TRINITY_DN101293_c0_g1_i1	0	0	0	0
TRINITY_DN101293_c0_g2_i1	0	0	0	0
TRINITY_DN1012_c0_g1_i1	0	0	0	0
TRINITY_DN101308_c0_g1_i1	0	0	0	0
TRINITY_DN101311_c0_g1_i1	0	0	0	0
TRINITY_DN101320_c0_g1_i1	0	0	0	0
TRINITY_DN101321_c0_g1_i1	0	0	0	0
TRINITY_DN101325_c0_g1_i1	0	0	0	0
TRINITY_DN101325_c0_g2_i1	0	0	0	0
TRINITY_DN101325_c0_g4_i1	0	0	0	0
TRINITY_DN101329_c0_g1_i1	0	0	0	0
TRINITY_DN101331_c0_g1_i1	0	1	2	0
TRINITY_DN101336_c0_g1_i1	0	0	0	1
TRINITY_DN101348_c0_g2_i1	0	0	0	0
TRINITY_DN101382_c0_g1_i1	0	0	0	0
TRINITY_DN101395_c0_g2_i1	0	0	0	0
TRINITY_DN101404_c0_g1_i1	0	0	0	0
TRINITY_DN101404_c0_g2_i1	0	0	0	0
TRINITY_DN101405_c0_g2_i1	0	0	0	0
TRINITY_DN101405_c0_g3_i1	0	0	0	0
TRINITY_DN101407_c0_g2_i1	1	0	0	0
TRINITY_DN101428_c0_g1_i1	0	0	0	0
TRINITY_DN101436_c0_g1_i1	72	124	82	82
TRINITY_DN101440_c0_g4_i1	0	0	0	0
TRINITY_DN101441_c0_g1_i1	0	0	0	0
TRINITY_DN101461_c0_g1_i1	0	0	0	0
TRINITY_DN101468_c0_g1_i1	0	0	0	0
TRINITY_DN10146_c0_g1_i1	0	0	0	0
TRINITY_DN101470_c0_g3_i1	0	0	0	0
TRINITY_DN101485_c0_g1_i1	0	0	0	0
TRINITY_DN101500_c0_g1_i1	0	0	0	0
TRINITY_DN101501_c0_g1_i1	0	0	0	0
TRINITY_DN101501_c0_g2_i1	0	0	0	0
TRINITY_DN101501_c0_g3_i1	0	0	0	0
TRINITY_DN101513_c0_g1_i2	0	0	0	0
TRINITY_DN101538_c0_g1_i1	0	0	0	0
TRINITY_DN101541_c0_g1_i1	0	0	0	0
TRINITY_DN101544_c0_g1_i1	0	0	0	0
TRINITY_DN101544_c0_g2_i1	0	0	0	0
TRINITY_DN101544_c0_g4_i1	0	0	0	0
TRINITY_DN101545_c0_g1_i1	0	0	0	0
TRINITY_DN101545_c0_g3_i1	0	0	0	0
TRINITY_DN101556_c0_g2_i1	0	0	0	0
TRINITY_DN101556_c0_g3_i1	0	0	0	1
TRINITY_DN101563_c0_g1_i1	0	0	0	0
TRINITY_DN101567_c0_g1_i1	0	0	0	0
TRINITY_DN101568_c0_g1_i1	0	15	11	5
TRINITY_DN101569_c0_g1_i2	0	0	0	0
TRINITY_DN101569_c0_g2_i1	0	0	0	0
TRINITY_DN101569_c0_g3_i1	0	0	0	0
TRINITY_DN101612_c0_g1_i1	0	0	0	0
TRINITY_DN101619_c0_g1_i1	0	0	0	0
TRINITY_DN101627_c0_g2_i1	0	0	0	0
TRINITY_DN101639_c0_g1_i1	4	2	6	12
TRINITY_DN101659_c0_g2_i1	0	0	0	0
TRINITY_DN101678_c0_g1_i1	0	0	0	0
TRINITY_DN101691_c0_g1_i1	0	0	0	0
TRINITY_DN101693_c0_g1_i1	0	1	3	1
TRINITY_DN101702_c0_g1_i1	299	458	296	292
TRINITY_DN101715_c0_g1_i1	0	0	0	0
TRINITY_DN101715_c0_g2_i1	0	0	0	0
TRINITY_DN101715_c1_g1_i1	0	0	0	0
TRINITY_DN101715_c1_g2_i1	0	0	0	0
TRINITY_DN101716_c0_g1_i1	0	0	0	0
TRINITY_DN101721_c0_g1_i1	0	0	0	0
TRINITY_DN101725_c0_g1_i1	0	0	0	0
TRINITY_DN101740_c0_g1_i1	0	0	0	0
TRINITY_DN101740_c0_g5_i1	0	0	0	0
TRINITY_DN101751_c0_g2_i1	0	0	0	0
TRINITY_DN101760_c0_g1_i1	0	0	0	0
TRINITY_DN101760_c0_g2_i1	0	0	0	0
TRINITY_DN101763_c1_g1_i1	0	0	0	0
TRINITY_DN101764_c0_g1_i1	0	0	0	0
TRINITY_DN101766_c0_g1_i1	45.6634	20.9986	44.6206	8.14467
TRINITY_DN101777_c0_g1_i1	0	0	0	0
TRINITY_DN101777_c0_g2_i1	0	0	0	0
TRINITY_DN101800_c0_g1_i1	0	0	0	0
TRINITY_DN101837_c0_g1_i1	0	1	1	0
TRINITY_DN101851_c0_g1_i1	0	0	0	0
TRINITY_DN101851_c0_g2_i1	0	0	0	0
TRINITY_DN101886_c0_g1_i1	0	0	0	0
TRINITY_DN101886_c0_g2_i1	0	0	0	0
TRINITY_DN101889_c0_g1_i1	0	0	0	0
TRINITY_DN101889_c0_g2_i1	0	0	0	0
TRINITY_DN101899_c0_g1_i1	0	0	0	0
TRINITY_DN101903_c0_g1_i1	0	3	0	1
TRINITY_DN101904_c0_g1_i1	0	0	0	0
TRINITY_DN101928_c0_g1_i1	0	0	0	0
TRINITY_DN101932_c0_g2_i1	0	0	0	0
TRINITY_DN101938_c0_g1_i1	0	3	1	0
TRINITY_DN101993_c0_g1_i1	0	0	0	0
TRINITY_DN101997_c0_g1_i1	0	0	0	0
TRINITY_DN101998_c0_g1_i1	0	0	0	0
TRINITY_DN101999_c0_g1_i1	0	0	0	0
TRINITY_DN102001_c0_g1_i2	7	4	8	7
TRINITY_DN102017_c0_g1_i1	28	88	132	89
TRINITY_DN102023_c0_g1_i1	0	0	0	0
TRINITY_DN102023_c0_g2_i1	0	0	0	0
TRINITY_DN102025_c0_g1_i1	0	0	0	0
TRINITY_DN102048_c0_g1_i1	0	0	0	0
TRINITY_DN102067_c0_g2_i1	0	0	0	0
TRINITY_DN102068_c0_g1_i1	26	50.294	42.7828	35.765
TRINITY_DN102074_c0_g1_i1	0	0	0	0
TRINITY_DN102076_c0_g1_i1	0	0	0	0
TRINITY_DN102093_c0_g1_i1	0	0	0	0
TRINITY_DN102098_c0_g1_i1	0	0	0	0
TRINITY_DN102098_c0_g2_i1	0	0	0	0
TRINITY_DN102100_c0_g1_i1	0	0	0	0
TRINITY_DN102100_c0_g2_i1	0	0	0	0
TRINITY_DN102107_c0_g1_i1	0	0	0	0
TRINITY_DN102121_c0_g1_i1	0	0	0	0
TRINITY_DN102133_c0_g3_i1	0	0	0	0
TRINITY_DN102134_c0_g1_i2	1	8	14	15
TRINITY_DN102156_c1_g1_i1	0	0	0	0
TRINITY_DN102156_c1_g2_i1	0	0	0	0
TRINITY_DN102163_c0_g1_i1	0	0	0	0
TRINITY_DN102166_c0_g1_i1	1826	1722	841	587
TRINITY_DN102168_c0_g1_i1	0	0	0	0
TRINITY_DN102175_c0_g1_i1	0	0	0	0
TRINITY_DN102176_c0_g2_i2	0	0	0	0
TRINITY_DN102180_c0_g2_i1	0	0	0	0
TRINITY_DN102200_c0_g1_i1	1	1	0	0
TRINITY_DN102200_c0_g2_i1	0	0	0	0
TRINITY_DN102207_c0_g2_i1	0	0	0	0
TRINITY_DN102210_c0_g1_i1	0	0	0	0
TRINITY_DN102214_c0_g1_i1	0	0	0	0
TRINITY_DN102223_c0_g1_i1	0	0	0	0
TRINITY_DN102229_c0_g1_i1	0	0	0	0
TRINITY_DN102231_c0_g1_i1	17	2	5	0
TRINITY_DN102247_c0_g1_i1	0	0	0	0
TRINITY_DN102247_c0_g3_i1	0	0	0	0
TRINITY_DN102251_c0_g2_i1	0	0	0	0
TRINITY_DN102251_c0_g3_i1	0	0	0	0
TRINITY_DN102254_c0_g2_i1	2	0	1	0
TRINITY_DN102255_c0_g1_i1	0	0	0	0
TRINITY_DN102255_c0_g3_i1	0	0	0	0
TRINITY_DN102275_c0_g1_i1	0	0	0	0
TRINITY_DN102275_c0_g3_i1	0	0	0	0
TRINITY_DN102292_c0_g1_i1	0	0	0	0
TRINITY_DN10230_c0_g2_i1	0	0	0	0
TRINITY_DN102312_c0_g1_i1	0	0	0	0
TRINITY_DN102317_c0_g1_i1	0	0	0	0
TRINITY_DN102317_c0_g2_i1	0	0	0	0
TRINITY_DN102330_c1_g1_i2	0	0	0	0
TRINITY_DN102383_c0_g1_i1	0	0	0	0
TRINITY_DN102398_c0_g3_i1	0	0	0	0
TRINITY_DN102413_c1_g1_i1	0	0	0	1
TRINITY_DN102419_c0_g1_i1	0	0	0	0
TRINITY_DN102424_c0_g1_i3	0	0	0	0
TRINITY_DN102426_c0_g1_i1	0	0	0	0
TRINITY_DN102426_c0_g2_i1	0	0	0	0
TRINITY_DN102453_c0_g2_i1	0	0	0	0
TRINITY_DN102453_c0_g3_i1	0	0	0	0
TRINITY_DN102462_c0_g2_i1	0	0	0	0
TRINITY_DN102466_c0_g1_i1	0	0	0	0
TRINITY_DN102467_c0_g1_i1	0	0	0	0
TRINITY_DN102491_c0_g1_i1	0	0	0	0
TRINITY_DN102491_c0_g2_i1	0	0	0	0
TRINITY_DN102499_c0_g1_i1	0	0	0	0
TRINITY_DN102504_c0_g1_i2	1	5	1	2
TRINITY_DN102516_c0_g1_i1	0	0	0	0
TRINITY_DN102518_c0_g1_i2	0	0	0	0
TRINITY_DN102521_c0_g1_i1	0	0	0	0
TRINITY_DN102533_c0_g1_i1	0	0	0	0
TRINITY_DN102540_c0_g1_i1	0	0	0	0
TRINITY_DN102545_c0_g1_i1	0	0	0	0
TRINITY_DN102562_c0_g2_i1	0	0	0	0
TRINITY_DN102593_c0_g1_i1	0	0	0	0
TRINITY_DN102594_c0_g2_i1	0	0	0	0
TRINITY_DN102594_c0_g3_i1	0	0	0	0
TRINITY_DN102594_c0_g4_i1	0	0	0	0
TRINITY_DN102598_c0_g2_i1	0	3	0	0
TRINITY_DN102599_c0_g1_i1	0	0	0	0
TRINITY_DN102599_c0_g2_i1	0	0	0	0
TRINITY_DN102605_c0_g2_i1	0	0	0	0
TRINITY_DN102608_c0_g1_i2	0	0	0	0
TRINITY_DN102608_c0_g2_i1	0	0	0	0
TRINITY_DN10260_c0_g1_i1	0	0	0	0
TRINITY_DN102625_c0_g2_i1	0	0	0	0
TRINITY_DN102629_c0_g1_i1	0	0	0	0
TRINITY_DN102641_c0_g1_i1	31	80	71	43
TRINITY_DN102656_c0_g1_i1	0	0	0	0
TRINITY_DN102656_c0_g2_i1	0	0	0	0
TRINITY_DN10265_c0_g1_i1	0	0	0	0
TRINITY_DN102671_c0_g1_i1	0	0	0	0
TRINITY_DN102676_c0_g3_i1	0	0	0	0
TRINITY_DN102676_c0_g7_i1	0	0	0	0
TRINITY_DN102683_c0_g2_i1	0	0	0	0
TRINITY_DN102683_c0_g3_i1	0	0	0	0
TRINITY_DN102689_c0_g2_i1	0	0	0	0
TRINITY_DN102690_c0_g1_i1	5	4	1	3
TRINITY_DN102693_c0_g1_i1	3	3.0236	2.02403	1.00677
TRINITY_DN102711_c0_g1_i2	0	0	0	0
TRINITY_DN102711_c0_g2_i1	0	0	0	0
TRINITY_DN102721_c0_g1_i1	0	0	0	0
TRINITY_DN102727_c0_g1_i1	0	0	0	0
TRINITY_DN102727_c0_g2_i1	0	0	0	0
TRINITY_DN102755_c0_g1_i1	0	0	0	0
TRINITY_DN102778_c0_g1_i1	621	1057	682	590
TRINITY_DN102784_c0_g1_i1	0	0	0	0
TRINITY_DN102784_c1_g3_i1	0	0	0	0
TRINITY_DN102784_c1_g4_i1	0	0	0	0
TRINITY_DN102789_c0_g1_i2	0	0	0	0
TRINITY_DN102789_c0_g2_i1	0	0	0	0
TRINITY_DN102789_c0_g3_i1	0	0	0	0
TRINITY_DN102795_c0_g1_i1	0	0	0	0
TRINITY_DN102801_c0_g2_i1	0	0	0	0
TRINITY_DN102803_c0_g1_i2	0	0	0	0
TRINITY_DN102807_c0_g1_i1	0	0	0	0
TRINITY_DN102818_c0_g2_i1	0	0	0	0
TRINITY_DN102827_c0_g1_i1	0	0	0	0
TRINITY_DN102831_c0_g1_i1	0	0	0	0
TRINITY_DN102834_c0_g1_i1	0	0	0	0
TRINITY_DN102839_c0_g2_i1	0	0	0	0
TRINITY_DN102840_c0_g1_i1	1	10	4	3
TRINITY_DN102843_c0_g1_i1	0	0	0	0
TRINITY_DN10284_c0_g1_i1	0	0	0	0
TRINITY_DN102854_c0_g1_i1	0	0	0	0
TRINITY_DN102896_c0_g1_i1	0	0	0	0
TRINITY_DN102925_c0_g2_i1	0	0	0	0
TRINITY_DN102949_c0_g1_i1	0	0	0	0
TRINITY_DN102994_c0_g1_i2	0	0	0	0
TRINITY_DN103024_c0_g1_i1	0	0	0	0
TRINITY_DN103033_c0_g1_i1	0	0	0	0
TRINITY_DN103038_c0_g3_i1	0	0	0	0
TRINITY_DN103058_c0_g1_i1	0	0	0	0
TRINITY_DN103080_c0_g2_i1	0	0	0	0
TRINITY_DN103080_c0_g3_i1	0	0	0	0
TRINITY_DN103089_c0_g1_i3	0	0	0	0
TRINITY_DN103095_c0_g1_i1	0	0	0	0
TRINITY_DN103097_c0_g2_i1	0	0	0	0
TRINITY_DN103097_c0_g3_i1	0	0	0	0
TRINITY_DN103097_c1_g1_i1	0	0	0	0
TRINITY_DN103107_c0_g1_i1	0	1	0	0
TRINITY_DN103110_c0_g1_i1	2	4	2	5
TRINITY_DN103122_c0_g1_i1	0	0	0	0
TRINITY_DN103132_c0_g2_i1	0	0	0	0
TRINITY_DN103132_c0_g3_i3	0	0	0	0
TRINITY_DN103134_c0_g1_i1	0	0	0	0
TRINITY_DN103134_c0_g2_i1	0	0	0	0
TRINITY_DN103147_c0_g3_i1	0	0	0	0
TRINITY_DN103177_c0_g1_i1	0	0	0	0
TRINITY_DN103191_c0_g1_i1	0	0	0	0
TRINITY_DN103197_c0_g1_i1	0	0	0	0
TRINITY_DN103222_c0_g2_i1	1	1	0	0
TRINITY_DN103223_c0_g1_i1	25	57	44	52
TRINITY_DN103231_c0_g1_i1	1	2	2	0
TRINITY_DN103251_c0_g1_i1	0	0	0	0
TRINITY_DN103255_c0_g1_i1	0	1	0	0
TRINITY_DN103272_c0_g1_i1	0	0	0	0
TRINITY_DN103273_c0_g1_i1	0	0	0	0
TRINITY_DN103280_c0_g3_i1	0	0	0	0
TRINITY_DN103295_c0_g1_i1	0	0	0	0
TRINITY_DN103295_c0_g3_i1	0	0	0	0
TRINITY_DN103303_c0_g1_i1	0	0	0	0
TRINITY_DN103304_c0_g1_i1	0	0	0	0
TRINITY_DN103306_c0_g2_i1	0	0	0	0
TRINITY_DN103319_c0_g1_i1	0	0	0	0
TRINITY_DN103326_c0_g1_i1	18	34	30	17
TRINITY_DN103329_c1_g1_i1	1	3	2	0
TRINITY_DN103339_c1_g1_i1	0	0	0	0
TRINITY_DN103351_c0_g1_i1	0	0	0	0
TRINITY_DN103354_c0_g1_i1	0	0	0	0
TRINITY_DN103374_c0_g1_i1	0	0	0	0
TRINITY_DN103377_c0_g1_i1	0	0	0	0
TRINITY_DN103378_c0_g1_i1	0	0	0	0
TRINITY_DN103378_c0_g2_i1	0	0	0	0
TRINITY_DN103381_c0_g2_i1	0	0	0	0
TRINITY_DN103385_c0_g1_i1	0	1	0	0
TRINITY_DN103389_c0_g1_i1	0	0	0	0
TRINITY_DN103389_c0_g3_i2	0	0	0	0
TRINITY_DN103389_c0_g4_i1	0	0	0	0
TRINITY_DN103389_c0_g6_i1	0	0	0	0
TRINITY_DN103396_c0_g1_i1	0	3	8	3
TRINITY_DN103403_c0_g1_i1	0	0	0	0
TRINITY_DN103403_c0_g2_i1	0	0	0	0
TRINITY_DN103408_c0_g1_i1	4433	5996	2960	2182
TRINITY_DN103422_c0_g1_i1	0	0	0	0
TRINITY_DN103423_c0_g1_i1	0	0	0	0
TRINITY_DN103427_c0_g1_i1	0	0	0	0
TRINITY_DN103427_c0_g2_i1	0	0	0	0
TRINITY_DN103427_c0_g3_i1	0	0	0	0
TRINITY_DN103437_c0_g1_i1	0	0	0	0
TRINITY_DN103447_c0_g1_i1	0	0	0	0
TRINITY_DN103449_c1_g2_i1	0	0	0	0
TRINITY_DN103453_c0_g2_i1	0	0	0	0
TRINITY_DN103455_c0_g1_i1	0	0	0	0
TRINITY_DN103457_c0_g1_i1	0	0	0	0
TRINITY_DN103473_c0_g2_i2	0	1	0	0
TRINITY_DN103478_c0_g1_i2	0	0	0	0
TRINITY_DN103502_c0_g1_i1	38	38	39	20
TRINITY_DN103509_c0_g2_i1	0	0	0	0
TRINITY_DN103524_c0_g2_i1	0	0	0	0
TRINITY_DN103530_c0_g1_i1	10	51	18	11
TRINITY_DN103557_c0_g1_i3	0	0	0	0
TRINITY_DN103558_c0_g2_i1	4	19	32	28
TRINITY_DN103562_c0_g1_i1	0	0	0	0
TRINITY_DN103565_c0_g1_i1	0	64	9	7
TRINITY_DN103569_c0_g1_i1	0	0	0	0
TRINITY_DN103570_c0_g1_i1	0	0	0	0
TRINITY_DN103570_c0_g2_i1	0	0	0	0
TRINITY_DN103578_c0_g1_i1	476	786	473	398
TRINITY_DN103579_c0_g1_i1	0	0	0	0
TRINITY_DN103579_c0_g2_i1	0	0	0	0
TRINITY_DN103582_c0_g1_i1	0	0	0	0
TRINITY_DN103582_c0_g2_i1	0	0	0	0
TRINITY_DN103589_c0_g1_i1	0	0	0	0
TRINITY_DN103602_c0_g1_i1	7	80	12	11
TRINITY_DN103611_c0_g1_i1	0	0	0	0
TRINITY_DN103620_c0_g1_i1	0	0	0	0
TRINITY_DN103629_c0_g1_i1	88	176	159	151
TRINITY_DN103635_c0_g1_i1	0	0	0	0
TRINITY_DN103635_c0_g2_i1	0	0	0	0
TRINITY_DN103649_c0_g1_i1	0	30	35	13
TRINITY_DN103650_c0_g1_i2	0	0	0	0
TRINITY_DN103650_c0_g3_i1	0	0	0	0
TRINITY_DN103663_c0_g1_i1	0	6	2	0
TRINITY_DN103682_c0_g1_i1	0	0	0	0
TRINITY_DN103684_c0_g1_i1	43	86	122	117
TRINITY_DN103693_c0_g1_i1	0	0	0	0
TRINITY_DN103694_c0_g1_i1	0	0	0	0
TRINITY_DN103710_c0_g1_i1	0	0	0	0
TRINITY_DN103710_c0_g3_i1	0	0	0	0
TRINITY_DN103710_c0_g4_i1	0	0	0	0
TRINITY_DN103728_c0_g1_i1	0	0	0	0
TRINITY_DN103730_c0_g1_i1	0	0	0	0
TRINITY_DN103757_c0_g3_i1	0	0	0	0
TRINITY_DN103767_c0_g1_i1	0	0	0	0
TRINITY_DN103767_c0_g3_i1	0	0	0	0
TRINITY_DN103780_c1_g1_i1	0	3	4	2
TRINITY_DN103781_c0_g2_i2	1	0	0	0
TRINITY_DN103787_c0_g2_i1	0	0	0	0
TRINITY_DN103787_c0_g4_i1	0	0	0	0
