gid	dnds	dn	ds	chr	bias
TRINITY_DN128080_c9_g3_i2	0.001	0.0003	0.3499	Chr01	unbias
TRINITY_DN123401_c8_g1_i5	0.0879	0.0369	0.4201	Chr01	unbias
TRINITY_DN133811_c2_g2_i1	0.001	0.0004	0.4288	Chr01	unbias
TRINITY_DN132965_c2_g2_i2	0.0473	0.0219	0.4619	Chr01	unbias
TRINITY_DN137641_c0_g1_i3	0.0965	0.0468	0.4846	Chr01	unbias
TRINITY_DN119059_c2_g1_i2	0.0962	0.0467	0.4857	Chr01	unbias
TRINITY_DN124357_c0_g1_i2	0.2106	0.1029	0.4884	Chr01	unbias
TRINITY_DN122690_c2_g3_i1	0.0476	0.0256	0.5375	Chr01	unbias
TRINITY_DN127350_c3_g2_i1	0.0255	0.0141	0.5512	Chr01	unbias
TRINITY_DN141377_c0_g1_i2	0.0117	0.0065	0.5544	Chr01	unbias
TRINITY_DN136707_c0_g1_i6	0.1016	0.0571	0.5615	Chr01	unbias
TRINITY_DN138654_c10_g1_i1	0.0941	0.0543	0.5767	Chr01	unbias
TRINITY_DN132176_c5_g1_i9	0.0366	0.0216	0.5909	Chr01	unbias
TRINITY_DN116315_c4_g4_i1	0.0609	0.0365	0.5993	Chr01	unbias
TRINITY_DN134801_c2_g1_i5	0.0456	0.028	0.614	Chr01	unbias
TRINITY_DN125214_c2_g1_i9	0.0199	0.0125	0.6258	Chr01	unbias
TRINITY_DN119179_c8_g2_i19	0.0706	0.0444	0.6288	Chr01	unbias
TRINITY_DN127832_c1_g1_i2	0.0545	0.0344	0.6319	Chr01	unbias
TRINITY_DN128844_c7_g1_i2	0.0218	0.0139	0.6383	Chr01	unbias
TRINITY_DN138306_c0_g2_i2	0.2999	0.1931	0.6438	Chr01	unbias
TRINITY_DN140086_c2_g1_i1	0.001	0.0006	0.6446	Chr01	unbias
TRINITY_DN121412_c2_g3_i3	0.0353	0.0229	0.6484	Chr01	unbias
TRINITY_DN119800_c0_g3_i3	0.2114	0.1385	0.6549	Chr01	unbias
TRINITY_DN116092_c3_g1_i3	0.0306	0.0201	0.6566	Chr01	unbias
TRINITY_DN107672_c0_g2_i1	0.0355	0.0234	0.661	Chr01	unbias
TRINITY_DN119882_c5_g1_i5	0.0801	0.0537	0.6701	Chr01	unbias
TRINITY_DN116315_c1_g2_i1	0.0563	0.0382	0.6786	Chr01	unbias
TRINITY_DN124077_c3_g1_i16	0.0653	0.0453	0.6937	Chr01	unbias
TRINITY_DN136778_c1_g2_i3	0.0926	0.0644	0.6947	Chr01	unbias
TRINITY_DN123159_c2_g2_i2	0.2611	0.1866	0.7147	Chr01	unbias
TRINITY_DN118286_c5_g1_i1	0.0455	0.0332	0.7289	Chr01	unbias
TRINITY_DN134851_c5_g1_i3	0.001	0.0007	0.734	Chr01	unbias
TRINITY_DN137383_c0_g1_i1	0.1422	0.1052	0.7401	Chr01	unbias
TRINITY_DN129702_c0_g1_i2	0.0032	0.0024	0.7491	Chr01	unbias
TRINITY_DN117340_c5_g1_i1	0.001	0.0008	0.752	Chr01	unbias
TRINITY_DN134995_c6_g1_i5	0.1	0.0757	0.7567	Chr01	unbias
TRINITY_DN125608_c0_g1_i2	0.0086	0.0065	0.7621	Chr01	unbias
TRINITY_DN123913_c1_g1_i7	0.0777	0.0592	0.7627	Chr01	unbias
TRINITY_DN134243_c5_g1_i4	0.0544	0.0422	0.7754	Chr01	unbias
TRINITY_DN119860_c3_g2_i3	0.001	0.0008	0.7774	Chr01	unbias
TRINITY_DN141230_c1_g2_i4	0.0158	0.0124	0.7832	Chr01	unbias
TRINITY_DN120118_c2_g2_i6	0.0265	0.0209	0.7886	Chr01	unbias
TRINITY_DN116069_c1_g1_i4	0.0398	0.0314	0.7887	Chr01	unbias
TRINITY_DN141800_c8_g1_i3	0.0566	0.0447	0.7892	Chr01	unbias
TRINITY_DN142759_c3_g2_i1	0.1414	0.1118	0.7903	Chr01	unbias
TRINITY_DN119720_c7_g2_i1	0.131	0.1042	0.7953	Chr01	unbias
TRINITY_DN117864_c5_g1_i10	0.2021	0.1611	0.797	Chr01	unbias
TRINITY_DN139956_c9_g2_i7	0.0943	0.076	0.8058	Chr01	unbias
TRINITY_DN115809_c2_g2_i4	0.0912	0.0739	0.8101	Chr01	unbias
TRINITY_DN126901_c0_g1_i3	0.1242	0.1007	0.8107	Chr01	unbias
TRINITY_DN120337_c3_g2_i4	0.0686	0.0556	0.8109	Chr01	unbias
TRINITY_DN121699_c2_g1_i11	0.028	0.0228	0.8125	Chr01	unbias
TRINITY_DN116856_c2_g1_i1	0.0454	0.037	0.8139	Chr01	unbias
TRINITY_DN129360_c1_g3_i11	0.0881	0.0718	0.815	Chr01	unbias
TRINITY_DN139472_c1_g2_i1	0.0375	0.0306	0.817	Chr01	unbias
TRINITY_DN125758_c3_g3_i3	0.0035	0.0029	0.8186	Chr01	unbias
TRINITY_DN132024_c6_g1_i5	0.0569	0.0468	0.8228	Chr01	unbias
TRINITY_DN123263_c1_g1_i4	0.1186	0.0977	0.8242	Chr01	unbias
TRINITY_DN143937_c1_g1_i1	0.0779	0.0642	0.8246	Chr01	unbias
TRINITY_DN118164_c8_g2_i1	0.0209	0.0173	0.8295	Chr01	unbias
