gid	gname	chr	start	end	logCPM	logFC.XY46.XXm46	PV.XY46.XXm46	FDR.XY46.XXm46	Tv1_463	Tv2_461	Tv2_462	Tv2_464
TRINITY_DN102778_c0_g1_i1	ID=Xetrov90001699mgName=c19orf60-like]CS060_BOVINCS060_BOVINQ	Chr01	87500770	87515442	4.316991829	0.112497831	0.808709677	0.999945023	4.355623559	4.370972599	4.232058319	4.305130968
TRINITY_DN103578_c0_g1_i1	ID=Xetrov90002432mgName=mrpl52-like]RM52_XENLARM52_XENLAQ	Chr01	127865240	127866613	3.845808849	0.18435896	0.704644192	0.999945023	3.973152106	3.944897691	3.705959789	3.739086809
TRINITY_DN105775_c0_g1_i1	ID=Xetrov90002998mgName=LOC100485616]CV039_XENLACV039_XENLAQ	Chr01	145759872	145761192	2.534141458	-0.145009293	0.790552335	0.999945023	2.700122567	2.66026063	2.640618308	2.034637557
TRINITY_DN107356_c0_g1_i1	ID=Xetrov90002404mgName=psme2]PSME2_PIGPSME2_PIGQ	Chr01	127210129	127220139	5.558657835	-0.406307812	0.381823065	0.999945023	5.648561825	5.171444571	5.851798321	5.478819726
TRINITY_DN107676_c0_g1_i4	ID=Xetrov90001317mgName=LOC100494570]CPLX4_HUMANCPLX4_HUMANQ	Chr01	74365686	74372604	0.206862785	-0.043503258	0.938889163	0.999945023	-0.490714195	0.526387718	0.239463356	0.329966844
TRINITY_DN110003_c0_g1_i1	ID=Xetrov90002321mgName=isca1]ISCA1_MACFAISCA1_MACFAQ	Chr01	122707595	122725075	4.127682057	0.147021776	0.75829998	0.999945023	4.348655625	4.037004275	4.016318734	4.084208324
TRINITY_DN110252_c0_g1_i1	ID=Xetrov90001991mgName=mrpl34]RM34_MOUSERM34_MOUSEQ	Chr01	101215625	101218415	3.82400431	0.512678795	0.33403039	0.999945023	4.196560557	4.065883964	3.425179987	3.434757256
TRINITY_DN110253_c0_g1_i1	ID=Xetrov90002200mgName=mlana-like]MAR1_HUMANMAR1_HUMANQ	Chr01	114661493	114664944	1.887828352	0.521384365	0.407944032	0.999945023	2.229638816	2.308812051	1.486245706	1.218000741
TRINITY_DN110263_c0_g1_i1	ID=Xetrov90001868mgName=inip]SOSSC_XENLASOSSC_XENLAQ	Chr01	96210940	96219678	2.500372592	0.225612648	0.677234591	0.999945023	2.609757321	2.734089791	2.32972072	2.272713571
TRINITY_DN110499_c0_g1_i1	ID=Xetrov90001237mgName=LOC101734759]IGJ_MOUSEIGJ_MOUSEQ	Chr01	69507581	69515422	4.149810245	-1.110293011	0.038562569	0.999945023	3.816996478	2.90176952	4.891046167	4.307567467
TRINITY_DN110862_c0_g1_i1	ID=Xetrov90003582mgName=LOC100496550-like]GRAA_BOVINGRAA_BOVINQ	Chr01	178966251	178975142	2.091099398	-1.03953645	0.065474871	0.999945023	1.109960474	1.745766861	2.785632836	2.211581131
TRINITY_DN111106_c0_g1_i1	ID=Xetrov90003138mgName=rhof]RHOF_BOVINRHOF_BOVINQ	Chr01	153580211	153601443	2.431739383	0.42066335	0.479428957	0.999945023	2.663155751	2.855816196	2.108599817	1.87295176
TRINITY_DN111719_c0_g1_i1	ID=Xetrov90000406mgName=LOC100489853]TMD11_CANLFTMD11_CANLFQ	Chr01	14502547	14514034	3.034817048	0.885745578	0.196856495	0.999945023	3.429346137	3.721825118	2.32972072	1.899036699
TRINITY_DN112120_c0_g1_i2	ID=Xetrov90000473mgName=hs3st1]HS3S1_HUMANHS3S1_HUMANQ	Chr01	17966463	17979397	2.694587876	0.013757597	0.979563654	0.999945023	2.198973443	2.935298741	2.684440629	2.848943443
TRINITY_DN112164_c0_g1_i1	ID=Xetrov90003325mgName=cdk7]CDK7_XENLACDK7_XENLAQ	Chr01	163626702	163641032	1.703209219	-0.104283443	0.850560083	0.999945023	1.45955712	1.970833266	1.779688008	1.533206467
TRINITY_DN112499_c0_g1_i3	ID=Xetrov90003569mgName=ddx4]DDX4_PELLEDDX4_PELLEQ	Chr01	178458618	178496568	2.397174871	-2.945663243	0.000210108	0.126140347	1.526950017	-1.610806698	3.912221125	1.499504267
TRINITY_DN112533_c0_g3_i1	ID=Xetrov90002898mgName=ywhah]1433F_RAT1433F_RATQ	Chr01	143706404	143708921	4.048781075	-0.163900681	0.72649156	0.999945023	3.95797032	4.009284919	4.16955391	4.049693694
TRINITY_DN112549_c0_g1_i18	ID=Xetrov90003330mgName=mtx3-like]MTX1_HUMANMTX1_HUMANQ	Chr01	163732821	163747939	3.521839823	0.758058223	0.136857002	0.999945023	3.476986391	3.582990804	2.922630413	3.931452889
TRINITY_DN112573_c0_g1_i4	ID=Xetrov90002886mgName=drg1]DRG1_XENLADRG1_XENLAQ	Chr01	143548439	143553737	5.314987307	-0.016002917	0.972868101	0.999945023	5.458837741	5.390061357	5.326982188	5.051703451
TRINITY_DN112574_c0_g1_i2	ID=Xetrov90003016mgName=comt2]COMT_RATCOMT_RATQ	Chr01	146432864	146450074	3.079828905	-0.225302529	0.645893722	0.999945023	3.060022672	3.156760052	3.244591987	2.821928193
TRINITY_DN112621_c0_g1_i2	ID=Xetrov90000736mgName=c4orf47]CD047_XENLACD047_XENLAQ	Chr01	35229000	35235609	1.544188887	-0.724763412	0.167550887	0.999945023	1.45955712	1.225553008	2.042784024	1.298598716
TRINITY_DN112701_c0_g1_i1	ID=Xetrov90001299mgName=lsm7]LSM7_HUMANLSM7_HUMANQ	Chr01	73873750	73880326	3.623132874	0.058720962	0.906249329	0.999945023	3.930233893	3.582990804	3.579038732	3.337963263
TRINITY_DN112725_c0_g1_i1	ID=Xetrov90002233mgName=dmrt2]DMRT2_HUMANDMRT2_HUMANQ	Chr01	116303155	116303155	2.557663868	0.171032127	0.75957802	0.999945023	2.135615146	2.863577452	2.428747472	2.693679047
TRINITY_DN112741_c0_g1_i4	ID=Xetrov90002742mgName=slc25a46]S246A_XENLAS246A_XENLAQ	Chr01	135394990	135416624	4.357465234	0.049829036	0.914670718	0.999945023	4.219658769	4.358668315	4.320021353	4.515764182
TRINITY_DN112769_c0_g1_i1	ID=Xetrov90000821mgName=anxa10]ANX10_MOUSEANX10_MOUSEQ	Chr01	41382093	41410510	1.628850731	0.466121594	0.58327252	0.999945023	2.601965036	1.632226666	1.273179905	-0.341565218
TRINITY_DN112804_c0_g1_i1	ID=Xetrov90002132mgName=tek]TIE2_BOVINTIE2_BOVINQ	Chr01	110075520	110119487	2.999217388	0.074456987	0.887734219	0.999945023	3.347827638	2.989505184	2.943391364	2.625009255
TRINITY_DN112823_c0_g1_i1	ID=Xetrov90001092mgName=cfi]CFAI_HUMANCFAI_HUMANQ	Chr01	59181768	59213393	6.528697445	0.298294487	0.637991168	0.999945023	7.39715787	5.967892916	6.299583421	5.8931495
TRINITY_DN112837_c0_g1_i1	ID=Xetrov90002386mgName=nfil3]NFIL3_XENTRNFIL3_XENTRQ	Chr01	126556004	126575770	3.543567856	0.310121751	0.541128266	0.999945023	3.455526547	3.343165766	3.305998111	3.968877512
TRINITY_DN112876_c0_g1_i2	ID=Xetrov90003413mgName=LOC100486206-like]DYR_RATDYR_RATQ	Chr01	167665994	167676357	2.717639228	0.414431395	0.431097735	0.999945023	3.04860186	2.664709697	2.398995218	2.686208501
TRINITY_DN112885_c0_g1_i2	ID=Xetrov90000270mgName=spef1]SPEF1_XENLASPEF1_XENLAQ	Chr01	9437248	9448685	0.791172385	-0.833410918	0.136274155	0.999945023	-0.190876628	0.777083401	1.352935331	0.814098048
TRINITY_DN112919_c0_g1_i2	ID=Xetrov90002441mgName=psmb5]PSB5_PONABPSB5_PONABQ	Chr01	128036731	128039502	6.170924857	-0.056401726	0.904618562	0.999945023	6.253046723	6.230119339	6.212999927	5.96975883
TRINITY_DN112921_c0_g1_i1	ID=Xetrov90002718mgName=LOC100494784]ZMYM1_HUMANZMYM1_HUMANQ	Chr01	133867919	133873298	2.684544412	0.016618734	0.974300867	0.999945023	2.910320996	2.544326367	2.672055202	2.585398009
