gid	gname	chr	start	end	logCPM	logFC.XY46.XX46	logFC.XY46.XXm46	logFC.XXm46.XX46	logFC.XXM.XXF	PV.XY46.XX46	PV.XY46.XXm46	PV.XXm46.XX46	PV.XXM.XXF	FDR.XY46.XX46	FDR.XY46.XXm46	FDR.XXm46.XX46	FDR.XXM.XXF	Tv1_462	Tv1_463	Tv2_461	Tv2_462	Tv2_464	Tv5_461	Tv6_461
TRINITY_DN102778_c0_g1_i1	ID=Xetrov90001699mgName=c19orf60-like]CS060_BOVINCS060_BOVINQ	Chr01	87500770	87500770	4.464138355	-0.035463354	0.126716629	-0.162179983	-0.098821668	0.89819306	0.748733219	0.682185896	0.721710933	0.923967	1	0.783979071	0.782984157	4.332914238	4.480494901	4.495234115	4.339678884	4.421147759	4.507109963	4.647011293
TRINITY_DN103578_c0_g1_i1	ID=Xetrov90002432mgName=mrpl52-like]RM52_XENLARM52_XENLAQ	Chr01	127865240	127865240	3.982774178	0.004636212	0.198797419	-0.194161207	-0.094762498	0.98805011	0.654236887	0.661441019	0.759799372	0.991022027	1	0.768180697	0.81477545	3.901626475	4.097894035	4.069014782	3.81339552	3.854901859	4.154170087	3.95200678
TRINITY_DN105775_c0_g1_i1	ID=Xetrov90002998mgName=LOC100485616]CV039_XENLACV039_XENLAQ	Chr01	145759872	145759872	3.331196949	-1.302841883	-0.129866496	-1.172975387	-1.237908635	0.000252879	0.79363794	0.027643666	0.000590031	0.001199801	1	0.089891507	0.002539058	4.031586077	2.824076973	2.783566304	2.747392911	2.149047519	3.776412284	3.924499025
TRINITY_DN107356_c0_g1_i1	ID=Xetrov90002404mgName=psme2]PSME2_PIGPSME2_PIGQ	Chr01	127210129	127210129	5.431888612	0.54336123	-0.392426621	0.935787852	0.739574541	0.04137255	0.285181799	0.008926418	0.005408309	0.082504685	1	0.039683322	0.016298703	4.914822646	5.773685454	5.295885072	5.959702208	5.595070243	5.194746582	4.948513171
TRINITY_DN107676_c0_g1_i4	ID=Xetrov90001317mgName=LOC100494570]CPLX4_HUMANCPLX4_HUMANQ	Chr01	74365686	74365686	0.896355579	-1.135970721	-0.033766426	-1.102204295	-1.119087508	0.015525089	0.959986829	0.116251438	0.018175785	0.038262818	1	0.238750775	0.043086277	1.570754807	-0.377728205	0.645020019	0.340804353	0.439787025	1.238490505	1.41171889
TRINITY_DN109029_c0_g1_i1	ID=Xetrov90000649mgName=zar1]ZAR1_XENLAZAR1_XENLAQ	Chr01	29767993	29767993	5.492278998	-10.52515066	0.185708828	-10.71085949	-10.61800507	2.70E-109	0.871418561	6.41E-40	1.45E-87	3.29E-106	1	7.81E-37	1.83E-84	6.902665789	-3.010340152	-2.862195552	-3.163539373	-3.496494718	6.510035886	6.695079114
TRINITY_DN109307_c0_g1_i1	ID=Xetrov90001554mgName=LOC100495756-like]	Chr01	83427263	83427263	6.596938222	-11.85222132	0.89185301	-12.74407433	-12.29814783	1.16E-110	0.524045289	9.04E-41	5.33E-87	1.71E-107	1	1.32E-37	6.28E-84	8.051116936	-3.502359773	-2.862195552	-3.608368768	-3.496494718	7.612417855	7.755270982
TRINITY_DN110003_c0_g1_i1	ID=Xetrov90002321mgName=isca1]ISCA1_MACFAISCA1_MACFAQ	Chr01	122707595	122707595	4.877980065	-1.153045095	0.161079927	-1.314125022	-1.233585058	1.41E-05	0.668812798	0.001108082	4.90E-06	8.82E-05	1	0.007769454	3.44E-05	5.427801174	4.473524904	4.161156299	4.123871549	4.200155635	5.431677146	5.447136977
TRINITY_DN110252_c0_g1_i1	ID=Xetrov90001991mgName=mrpl34]RM34_MOUSERM34_MOUSEQ	Chr01	101215625	101215625	3.940832121	0.121417642	0.527728143	-0.406310501	-0.14244643	0.712396461	0.273697191	0.395757763	0.666260798	0.774850074	1	0.54581436	0.735350041	3.884526426	4.32138221	4.190046489	3.532485745	3.550426299	3.973702158	3.95200678
TRINITY_DN110253_c0_g1_i1	ID=Xetrov90002200mgName=mlana-like]MAR1_HUMANMAR1_HUMANQ	Chr01	114661493	114661493	4.956830788	-3.959413531	0.538970298	-4.498383829	-4.22889868	1.19E-28	0.262869736	7.48E-14	7.30E-27	8.33E-27	1	7.00E-12	5.84E-25	6.258425434	2.353075002	2.431737904	1.59146693	1.330865926	5.839475369	6.073549982
TRINITY_DN110263_c0_g1_i1	ID=Xetrov90001868mgName=inip]SOSSC_XENLASOSSC_XENLAQ	Chr01	96210940	96210940	2.789167646	-0.316002948	0.240257606	-0.556260554	-0.436131751	0.394179792	0.653174852	0.305677114	0.242262689	0.487604619	1	0.459132663	0.330934429	2.704373616	2.733624863	2.857464147	2.436190729	2.387432018	3.034116965	3.184439148
TRINITY_DN110499_c0_g1_i1	ID=Xetrov90001237mgName=LOC101734759]IGJ_MOUSEIGJ_MOUSEQ	Chr01	69507581	69507581	4.272231135	-0.377494221	-1.096345726	0.718851505	0.170678642	0.526971682	0.169231755	0.375045718	0.774178405	0.613432177	1	0.527274719	0.826234422	1.558485054	3.941674877	3.025287395	4.998820736	4.423584966	5.09277165	4.409724621
TRINITY_DN110862_c0_g1_i1	ID=Xetrov90003582mgName=LOC100496550-like]GRAA_BOVINGRAA_BOVINQ	Chr01	178966251	178966251	1.790685171	0.929733141	-1.026472627	1.956205767	1.442969454	0.046415657	0.094971186	0.001088097	0.001995687	0.090199005	1	0.007649356	0.007187848	0.181591891	1.231210229	1.867853702	2.892528548	2.326225163	1.212127621	1.257451242
TRINITY_DN111106_c0_g1_i1	ID=Xetrov90003138mgName=rhof]RHOF_BOVINRHOF_BOVINQ	Chr01	153580211	153580211	4.339449594	-2.660926325	0.437209243	-3.098135568	-2.879530946	7.51E-15	0.360226109	2.95E-08	2.71E-15	1.63E-13	1	9.24E-07	7.13E-14	5.471809895	2.78707528	2.979296385	2.214809523	1.987121187	5.149443682	5.258345638
TRINITY_DN111719_c0_g1_i1	ID=Xetrov90000406mgName=LOC100489853]TMD11_CANLFTMD11_CANLFQ	Chr01	14502547	14502547	2.785198769	1.260934881	0.901091187	0.359843694	0.810389287	0.016471037	0.2446585	0.617989001	0.119632382	0.040079876	1	0.733637522	0.189065805	0.917505693	3.553833619	3.845847759	2.436190729	2.013246781	2.235535534	2.603626929
TRINITY_DN112120_c0_g1_i2	ID=Xetrov90000473mgName=hs3st1]HS3S1_HUMANHS3S1_HUMANQ	Chr01	17966463	17966463	2.793348995	0.049551062	0.027113248	0.022437813	0.035994438	0.909103182	0.964871818	0.970825209	0.933886767	0.931935564	1	0.982724553	0.950808408	3.294742001	2.322369615	3.058843365	2.791253123	2.964227877	2.810753521	1.858918834
TRINITY_DN112164_c0_g1_i1	ID=Xetrov90003325mgName=cdk7]CDK7_XENLACDK7_XENLAQ	Chr01	163626702	163626702	4.418301995	-3.715461875	-0.087197069	-3.628264806	-3.67186334	1.36E-29	0.840870493	6.93E-12	1.69E-25	9.91E-28	1	4.78E-10	1.23E-23	5.661581359	1.581678908	2.093295221	1.88542853	1.646773287	5.455050293	5.354242173
TRINITY_DN112239_c0_g1_i3	ID=Xetrov90002604mgName=ccnb1ip1]CIP1_HUMANCIP1_HUMANQ	Chr01	130445254	130445254	1.686230208	-6.729201747	4.387456741	-11.11665849	-8.922930117	4.59E-19	0.072296897	9.46E-10	4.77E-18	1.50E-17	1	4.23E-08	1.72E-16	3.72625213	-3.010340152	-2.654574258	-4.254826735	-4.254826735	2.147848534	2.104967667
TRINITY_DN112349_c1_g1_i2	ID=Xetrov90003604mgName=hcn1]HCN1_HUMANHCN1_HUMANQ	Chr01	181104515	181104515	2.17896433	-3.365298714	0.457816387	-3.8231151	-3.594206907	1.29E-07	0.606310935	0.000307822	1.97E-07	1.15E-06	1	0.00271675	1.77E-06	1.676725326	-1.559418841	0.186525911	-0.506682382	0.439787025	4.00283077	3.122469092
TRINITY_DN112499_c0_g1_i3	ID=Xetrov90003569mgName=ddx4]DDX4_PELLEDDX4_PELLEQ	Chr01	178458618	178458618	5.715777791	-5.766011446	-2.936817312	-2.829194134	-4.29760279	1.41E-19	1.26E-05	0.001280979	3.20E-11	4.89E-18	0.022263743	0.008705778	5.16E-10	7.139885041	1.649216897	-1.512928712	4.019737441	1.613003189	6.5598869	6.775446938
TRINITY_DN112533_c0_g3_i1	ID=Xetrov90002898mgName=ywhah]1433F_RAT1433F_RATQ	Chr01	143706404	143706404	3.877791569	0.755620028	-0.149882028	0.905502056	0.830561042	0.024589035	0.748708002	0.044863349	0.013184067	0.055100078	1	0.126015957	0.033351264	3.647347737	4.08270637	4.133426663	4.277155878	4.165629156	3.515828224	2.8394287
TRINITY_DN112549_c0_g1_i18	ID=Xetrov90003330mgName=mtx3-like]MTX1_HUMANMTX1_HUMANQ	Chr01	163732821	163732821	4.588405706	-1.508360659	0.771465632	-2.279826291	-1.894093475	1.30E-07	0.066191575	7.21E-07	2.07E-10	1.15E-06	1	1.52E-05	2.99E-09	5.179043259	3.601500193	3.706946845	3.02962987	4.047345541	5.336493233	5.384065096
TRINITY_DN112573_c0_g1_i4	ID=Xetrov90002886mgName=drg1]DRG1_XENLADRG1_XENLAQ	Chr01	143548439	143548439	6.155175419	-1.330805607	-0.001358911	-1.329446696	-1.330126152	9.86E-07	0.997139141	0.001225597	1.50E-06	7.59E-06	1	0.008415144	1.16E-05	6.759267998	5.583936922	5.514535789	5.43482612	5.167889851	6.7037182	6.824353285
TRINITY_DN112574_c0_g1_i2	ID=Xetrov90003016mgName=comt2]COMT_RATCOMT_RATQ	Chr01	146432864	146432864	2.729546164	1.445316345	-0.211014807	1.656331152	1.550823749	0.000264892	0.695447119	0.001178019	8.66E-05	0.001249252	1	0.008161394	0.000471176	2.155382757	3.184273729	3.280466554	3.351799738	2.93719084	1.553998864	1.284335455
TRINITY_DN112621_c0_g1_i2	ID=Xetrov90000736mgName=c4orf47]CD047_XENLACD047_XENLAQ	Chr01	35229000	35229000	1.812528259	-0.552098762	-0.710551286	0.158452523	-0.196823119	0.164595511	0.1889099	0.773555297	0.617150355	0.243429186	1	0.852790282	0.692543052	2.036562836	1.581678908	1.346511748	2.148908217	1.411658179	2.154786182	1.75703682
TRINITY_DN112701_c0_g1_i1	ID=Xetrov90001299mgName=lsm7]LSM7_HUMANLSM7_HUMANQ	Chr01	73873750	73873750	4.330311854	-1.105125274	0.073303304	-1.178428578	-1.141776926	0.000213996	0.861994134	0.008709892	0.000161478	0.001037173	1	0.038950982	0.000817496	4.948123981	4.054959041	3.706946845	3.686418834	3.453579027	4.753227604	4.877458175
TRINITY_DN112725_c0_g1_i1	ID=Xetrov90002233mgName=dmrt2]DMRT2_HUMANDMRT2_HUMANQ	Chr01	116306551	116306551	2.365313209	0.910624486	0.18480113	0.725823355	0.81822392	0.025770357	0.749100908	0.189855395	0.044259459	0.05718531	1	0.332185855	0.086581387	2.054148088	2.258925895	2.98706409	2.535321719	2.808832508	1.339373522	1.962425681
TRINITY_DN112741_c0_g1_i4	ID=Xetrov90002742mgName=slc25a46]S246A_XENLAS246A_XENLAQ	Chr01	135394990	135394990	4.721428003	-0.504480943	0.063619829	-0.568100772	-0.536290858	0.069433359	0.871901729	0.161500988	0.054818281	0.123671502	1	0.297957901	0.102684778	4.706812759	4.344487983	4.482926231	4.427666762	4.631838008	5.24924261	4.976601694
