stage	sb	ID	Fa	trans	dnds	dn	ds
G31	unbias	31_unbias	RBH_pair_3861.fa	TRINITY_DN143918_c2_g1_i2	0.1289	0.0296	0.2295
G31	unbias	31_unbias	RBH_pair_1602.fa	TRINITY_DN117132_c1_g1_i8	0.0592	0.0166	0.2808
G31	unbias	31_unbias	RBH_pair_10218.fa	TRINITY_DN128080_c9_g3_i2	0.001	0.0003	0.3499
G31	unbias	31_unbias	RBH_pair_3396.fa	TRINITY_DN126555_c1_g1_i26	0.0074	0.0026	0.3545
G31	unbias	31_unbias	RBH_pair_10604.fa	TRINITY_DN121222_c6_g1_i5	0.0454	0.0189	0.4158
G31	unbias	31_unbias	RBH_pair_5813.fa	TRINITY_DN123401_c8_g1_i5	0.0879	0.0369	0.4201
G31	unbias	31_unbias	RBH_pair_5189.fa	TRINITY_DN133811_c2_g2_i1	0.001	0.0004	0.4288
G31	unbias	31_unbias	RBH_pair_4766.fa	TRINITY_DN129164_c3_g1_i1	0.0399	0.0173	0.4338
G31	unbias	31_unbias	RBH_pair_4377.fa	TRINITY_DN116413_c6_g1_i13	0.0224	0.0099	0.4417
G31	unbias	31_unbias	RBH_pair_1528.fa	TRINITY_DN121805_c1_g3_i2	0.7956	0.3576	0.4494
G31	unbias	31_unbias	RBH_pair_6306.fa	TRINITY_DN119656_c1_g2_i6	0.232	0.1045	0.4505
G31	unbias	31_unbias	RBH_pair_6303.fa	TRINITY_DN130668_c2_g3_i5	0.0348	0.0159	0.457
G31	unbias	31_unbias	RBH_pair_6378.fa	TRINITY_DN120651_c3_g1_i19	0.0471	0.0218	0.4617
G31	unbias	31_unbias	RBH_pair_8230.fa	TRINITY_DN132965_c2_g2_i2	0.0473	0.0219	0.4619
G31	unbias	31_unbias	RBH_pair_4311.fa	TRINITY_DN130849_c2_g1_i1	0.029	0.0135	0.4642
G31	unbias	31_unbias	RBH_pair_10602.fa	TRINITY_DN129688_c1_g1_i4	0.0358	0.0172	0.4798
G31	unbias	31_unbias	RBH_pair_2365.fa	TRINITY_DN137641_c0_g1_i3	0.0965	0.0468	0.4846
G31	unbias	31_unbias	RBH_pair_4454.fa	TRINITY_DN119059_c2_g1_i2	0.0962	0.0467	0.4857
G31	unbias	31_unbias	RBH_pair_10579.fa	TRINITY_DN136646_c5_g1_i4	0.1717	0.0834	0.4857
G31	unbias	31_unbias	RBH_pair_5402.fa	TRINITY_DN124357_c0_g1_i2	0.2106	0.1029	0.4884
G31	unbias	31_unbias	RBH_pair_1767.fa	TRINITY_DN125854_c0_g2_i1	0.1115	0.0546	0.4891
G31	unbias	31_unbias	RBH_pair_3609.fa	TRINITY_DN124383_c2_g1_i5	0.0262	0.0128	0.4896
G31	unbias	31_unbias	RBH_pair_2823.fa	TRINITY_DN139066_c5_g2_i2	0.0375	0.019	0.5068
G31	unbias	31_unbias	RBH_pair_4975.fa	TRINITY_DN143398_c1_g1_i2	0.014	0.0071	0.5088
G31	unbias	31_unbias	RBH_pair_5280.fa	TRINITY_DN114456_c4_g1_i4	0.001	0.0005	0.533
G31	unbias	31_unbias	RBH_pair_4246.fa	TRINITY_DN122690_c2_g3_i1	0.0476	0.0256	0.5375
G31	unbias	31_unbias	RBH_pair_10252.fa	TRINITY_DN108603_c0_g1_i1	0.0211	0.0113	0.5382
G31	unbias	31_unbias	RBH_pair_5447.fa	TRINITY_DN142114_c2_g1_i1	0.1028	0.0559	0.5438
G31	unbias	31_unbias	RBH_pair_5109.fa	TRINITY_DN127350_c3_g2_i1	0.0255	0.0141	0.5512
G31	unbias	31_unbias	RBH_pair_8078.fa	TRINITY_DN141377_c0_g1_i2	0.0117	0.0065	0.5544
G31	unbias	31_unbias	RBH_pair_5114.fa	TRINITY_DN131813_c8_g2_i1	0.001	0.0006	0.5589
G31	unbias	31_unbias	RBH_pair_2641.fa	TRINITY_DN143296_c4_g1_i1	0.073	0.0409	0.5595
G31	unbias	31_unbias	RBH_pair_2936.fa	TRINITY_DN136707_c0_g1_i6	0.1016	0.0571	0.5615
G31	unbias	31_unbias	RBH_pair_4313.fa	TRINITY_DN132100_c5_g1_i1	0.1042	0.059	0.5663
G31	unbias	31_unbias	RBH_pair_9947.fa	TRINITY_DN122183_c3_g3_i6	0.1334	0.0762	0.571
G31	unbias	31_unbias	RBH_pair_4263.fa	TRINITY_DN125110_c6_g1_i3	0.0072	0.0041	0.5713
G31	unbias	31_unbias	RBH_pair_7804.fa	TRINITY_DN125375_c3_g2_i3	0.0369	0.0212	0.5753
G31	unbias	31_unbias	RBH_pair_3779.fa	TRINITY_DN127656_c7_g1_i5	0.1045	0.0602	0.576
G31	unbias	31_unbias	RBH_pair_5450.fa	TRINITY_DN138654_c10_g1_i1	0.0941	0.0543	0.5767
G31	unbias	31_unbias	RBH_pair_7451.fa	TRINITY_DN139632_c0_g1_i3	0.0358	0.0207	0.5796
G31	unbias	31_unbias	RBH_pair_8496.fa	TRINITY_DN128295_c3_g1_i4	0.0184	0.0108	0.5848
G31	unbias	31_unbias	RBH_pair_6007.fa	TRINITY_DN123939_c3_g2_i17	0.081	0.0476	0.5876
G31	unbias	31_unbias	RBH_pair_903.fa	TRINITY_DN132176_c5_g1_i9	0.0366	0.0216	0.5909
G31	unbias	31_unbias	RBH_pair_4312.fa	TRINITY_DN116869_c7_g1_i2	0.0532	0.0314	0.5913
G31	unbias	31_unbias	RBH_pair_4362.fa	TRINITY_DN116315_c4_g4_i1	0.0609	0.0365	0.5993
G31	unbias	31_unbias	RBH_pair_3959.fa	TRINITY_DN127992_c3_g1_i1	0.0194	0.0117	0.5996
G31	unbias	31_unbias	RBH_pair_569.fa	TRINITY_DN113753_c1_g1_i2	0.0621	0.0373	0.6
G31	unbias	31_unbias	RBH_pair_6559.fa	TRINITY_DN121958_c0_g1_i1	0.0178	0.0108	0.6065
G31	unbias	31_unbias	RBH_pair_7140.fa	TRINITY_DN129139_c2_g1_i1	0.2786	0.17	0.6102
G31	unbias	31_unbias	RBH_pair_8221.fa	TRINITY_DN134801_c2_g1_i5	0.0456	0.028	0.614
G31	unbias	31_unbias	RBH_pair_10340.fa	TRINITY_DN131708_c3_g1_i3	0.024	0.0147	0.6146
G31	unbias	31_unbias	RBH_pair_3367.fa	TRINITY_DN121027_c5_g1_i3	0.0151	0.0093	0.615
G31	unbias	31_unbias	RBH_pair_1276.fa	TRINITY_DN116236_c5_g1_i7	0.0682	0.0421	0.618
G31	unbias	31_unbias	RBH_pair_5110.fa	TRINITY_DN130650_c7_g3_i2	0.01	0.0062	0.6222
G31	unbias	31_unbias	RBH_pair_5771.fa	TRINITY_DN136056_c3_g1_i3	0.0147	0.0092	0.6249
G31	unbias	31_unbias	RBH_pair_6279.fa	TRINITY_DN125214_c2_g1_i9	0.0199	0.0125	0.6258
G31	unbias	31_unbias	RBH_pair_5985.fa	TRINITY_DN123208_c0_g4_i2	0.0358	0.0224	0.6265
G31	unbias	31_unbias	RBH_pair_7089.fa	TRINITY_DN119179_c8_g2_i19	0.0706	0.0444	0.6288
G31	unbias	31_unbias	RBH_pair_7070.fa	TRINITY_DN129155_c0_g3_i2	0.0135	0.0085	0.6307
G31	unbias	31_unbias	RBH_pair_6540.fa	TRINITY_DN127832_c1_g1_i2	0.0545	0.0344	0.6319
